name, codename, country, iata, icao, type
Westchester County Airport,White Plains,United States,HPN,KHPN,airport
Francis S Gabreski Airport,West Hampton Beach,United States,FOK,KFOK,airport
Jonesboro Municipal Airport,Jonesboro,United States,JBR,KJBR,airport
Tonopah Test Range Airport,Tonopah,United States,XSD,KTNX,airport
Palm Beach County Park Airport,West Palm Beach,United States,LNA,KLNA,airport
North Island Naval Air Station-Halsey Field,San Diego,United States,NZY,KNZY,airport
Biggs Army Air Field (Fort Bliss),El Paso,United States,BIF,KBIF,airport
Yuma MCAS/Yuma International Airport,Yuma,United States,YUM,KNYL,airport
Cavern City Air Terminal,Carlsbad,United States,CNM,KCNM,airport
Duluth International Airport,Duluth,United States,DLH,KDLH,airport
Bethel Airport,Bethel,United States,BET,PABE,airport
Bowman Field,Louisville,United States,LOU,KLOU,airport
Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,United States,FHU,KFHU,airport
Lihue Airport,Lihue,United States,LIH,PHLI,airport
"Terre Haute Regional Airport, Hulman Field",Terre Haute,United States,HUF,KHUF,airport
Havre City County Airport,Havre,United States,HVR,KHVR,airport
Grant County International Airport,Grant County Airport,United States,MWH,KMWH,airport
Edward F Knapp State Airport,Montpelier,United States,MPV,KMPV,airport
Richmond International Airport,Richmond,United States,RIC,KRIC,airport
Shreveport Regional Airport,Shreveport,United States,SHV,KSHV,airport
Merle K (Mudhole) Smith Airport,Cordova,United States,CDV,PACV,airport
Norfolk International Airport,Norfolk,United States,ORF,KORF,airport
Southeast Texas Regional Airport,Beaumont,United States,BPT,KBPT,airport
Savannah Hilton Head International Airport,Savannah,United States,SAV,KSAV,airport
Hill Air Force Base,Ogden,United States,HIF,KHIF,airport
Nome Airport,Nome,United States,OME,PAOM,airport
St Petersburg Clearwater International Airport,St. Petersburg,United States,PIE,KPIE,airport
Menominee Regional Airport,Macon,United States,MNM,KMNM,airport
Conroe-North Houston Regional Airport,Conroe,United States,CXO,KCXO,airport
Deadhorse Airport,Deadhorse,United States,SCC,PASC,airport
San Antonio International Airport,San Antonio,United States,SAT,KSAT,airport
Greater Rochester International Airport,Rochester,United States,ROC,KROC,airport
Patrick Air Force Base,Coco Beach,United States,COF,KCOF,airport
Teterboro Airport,Teterboro,United States,TEB,KTEB,airport
Ellsworth Air Force Base,Rapid City,United States,RCA,KRCA,airport
Raleigh Durham International Airport,Raleigh-durham,United States,RDU,KRDU,airport
James M Cox Dayton International Airport,Dayton,United States,DAY,KDAY,airport
Kenai Municipal Airport,Kenai,United States,ENA,PAEN,airport
Mc Alester Regional Airport,Mcalester,United States,MLC,KMLC,airport
Niagara Falls International Airport,Niagara Falls,United States,IAG,KIAG,airport
Coulter Field,Bryan,United States,CFD,KCFD,airport
Wright AAF (Fort Stewart)/Midcoast Regional Airport,Wright,United States,LIY,KLHW,airport
Newport News Williamsburg International Airport,Newport News,United States,PHF,KPHF,airport
Esler Regional Airport,Alexandria,United States,ESF,KESF,airport
Altus Air Force Base,Altus,United States,LTS,KLTS,airport
Tucson International Airport,Tucson,United States,TUS,KTUS,airport
Minot Air Force Base,Minot,United States,MIB,KMIB,airport
Beale Air Force Base,Marysville,United States,BAB,KBAB,airport
Greater Kankakee Airport,Kankakee,United States,IKK,KIKK,airport
Seymour Johnson Air Force Base,Goldsboro,United States,GSB,KGSB,airport
Theodore Francis Green State Airport,Providence,United States,PVD,KPVD,airport
Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,SBY,KSBY,airport
Bob Hope Airport,Burbank,United States,BUR,KBUR,airport
Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,KDTW,airport
Tampa International Airport,Tampa,United States,TPA,KTPA,airport
Pembina Municipal Airport,Pembina,United States,PMB,KPMB,airport
